"symbol","trade_date","buy","nextday"
"FLT","2015-08-06","n","y"
"ICUI","2015-08-10","y","n"
"ICUI","2015-08-11","n","y"
"HTZ","2015-08-10","y","n"
"HTZ","2015-08-11","n","y"
"M","2015-08-11","y","n"
"M","2015-08-12","n","y"
"NNA","2015-08-17","y","n"
"NNA","2015-08-18","n","y"
"SINA","2015-08-18","n","n"
"SINA","2015-08-19","y","y"
"HEI","2015-08-25","y","n"
"HEI","2015-08-26","n","y"
"ULTA","2015-08-27","y","n"
"ULTA","2015-08-28","n","y"
"QIHU","2015-09-01","y","n"
"QIHU","2015-09-02","n","y"
"GIII","2015-09-01","y","n"
"GIII","2015-09-02","n","y"
"PAY","2015-09-03","n","n"
"PAY","2015-09-04","y","y"
"SBNY","2015-10-19","y","n"
"SBNY","2015-10-20","n","y"
"AOS","2015-10-20","y","n"
"AOS","2015-10-21","n","y"
"ACE","2015-10-20","y","n"
"ACE","2015-10-21","n","y"
"MANH","2015-10-20","y","n"
"MANH","2015-10-21","n","y"
"MLNX","2015-10-21","y","n"
"MLNX","2015-10-22","n","y"
"DLX","2015-10-21","y","n"
"DLX","2015-10-22","n","y"
"CHKP","2015-10-23","y","n"
"CHKP","2015-10-26","n","y"
"SPG","2015-10-26","y","n"
"SPG","2015-10-27","n","y"
"CSGP","2015-10-28","y","n"
"CSGP","2015-10-29","n","y"
"NXPI","2015-10-28","y","n"
"NXPI","2015-10-29","n","y"
"EXLS","2015-10-28","y","n"
"EXLS","2015-10-29","n","y"
"TFX","2015-10-28","n","n"
"TFX","2015-10-29","y","y"
"JAH","2015-10-28","y","n"
"JAH","2015-10-29","n","y"
"PAG","2015-10-28","y","n"
"PAG","2015-10-29","n","y"
"FE","2015-10-29","n","n"
"FE","2015-10-30","y","y"
"NSP","2015-10-30","y","n"
"NSP","2015-11-02","n","y"
"AFSI","2015-11-02","y","n"
"AFSI","2015-11-03","n","y"
"DVN","2015-11-03","y","n"
"DVN","2015-11-04","n","y"
"FLT","2015-11-04","y","n"
"FLT","2015-11-05","n","y"
"ICUI","2015-11-05","y","n"
"ICUI","2015-11-06","n","y"
"PCLN","2015-11-06","y","n"
"PCLN","2015-11-09","n","y"
"VIPS","2015-11-17","n","n"
"VIPS","2015-11-18","y","y"
